id,framework,language,link,description,popularity,dateAdded,images
2,Backbone.js,Javascript,http://backbonejs.org/,"Backbone.js gives structure to web applications by providing models with key-value binding and custom events, collections with a rich API of enumerable functions, views with declarative event handling, and connects it all to your existing API over a RESTful JSON interface.",5,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
3,SproutCore,Javascript,http://sproutcore.com/,"SproutCore is an open-source framework for building blazingly fast, innovative user experiences on the web.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
4,Sammy.js,Javascript,http://sammyjs.org/,Sammy.js is a tiny JavaScript framework developed to ease the pain and provide a basic structure for developing JavaScript applications.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
5,Spine.js,Javascript,http://spinejs.com/,"Spine is a lightweight framework for building JavaScript web applications. Spine gives you an MVC structure and then gets out of your way, allowing you to concentrate on the fun stuff, building awesome web applications.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
6,Cappuccino,Javascript,http://www.cappuccino-project.org/,"Cappuccino is a framework which makes it easy to create advanced web apps. With just a few lines of code you can have an app built with full undo and redo, truly amazing table views, drag and drop and every modern UI appearance and behaviour you might expect on the desktop.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
7,Knockout.js,Javascript,http://knockoutjs.com/,"By encapsulating data and behavior into a view model, you get a clean, extensible foundation on which to build sophisticated UIs without getting lost in a tangle of event handlers and manual DOM updates.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
8,Javascript MVC,Javascript,http://www.javascriptmvc.com/,It is the product of years of experience in the trenches developing medium to large JavaScript applications. It will help you build a quality application.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
9,Google Web Toolkit,"Javascript, Java",http://www.gwtproject.org/,"GWT is used by many products at Google, including Google AdWords and Google Wallet. It's open source, completely free, and used by thousands of enthusiastic developers around the world.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
10,Google Closure,Javascript,https://developers.google.com/closure/?hl=en,"The Closure Compiler compiles JavaScript into compact, high-performance code. The compiler removes dead code and rewrites and minimizes what's left so that it downloads and runs quickly. It also checks syntax, variable references, and types, and warns about common JavaScript pitfalls. ",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
11,Ember.js,Javascript,http://emberjs.com/,"Experience the future of the web platform today with Ember's components. Components allow you to create your own application-specific HTML tags, using Handlebars to describe their markup and JavaScript to implement custom behavior.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
12,Angular.js,Javascript,https://angularjs.org/,AngularJS is a toolset for building the framework most suited to your application development. It is fully extensible and works well with other libraries. Every feature can be modified or replaced to suit your unique development workflow and feature needs.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
13,Batman.js,Javascript,http://batmanjs.org/,"If you love Ruby on Rails, batman.js is the best, most familiar way to build rich web apps in CoffeeScript.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
14,Asana Luna,Javascript,https://asana.com/luna,"A Luna application specifies a data model and a function from the model to the view (user interface), annotated with handler functions from user inputs to model mutations. From this, the Luna framework produces a functioning Web 2.0 application ? the client-side JavaScript, the server-side SQL, and everything in between ? complete with real-time bidirectional data synchronization.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
15,qooxdoo,Javascript,http://qooxdoo.org/,"qooxdoo is a universal JavaScript framework with a coherent set of individual components and a powerful toolchain. It is open source under liberal licenses, and supported by one of the world's leading web hosts, 1&1.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
16,ActiveJS,Javascript,https://github.com/aptana/activejs,ActiveJS is a JavaScript application framework that provides local and REST based data modeling and pure DOM view construction with back button and history support.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
17,Eyeballs,Javascript,https://github.com/paulca/eyeballs.js/,"eyeballs.js can sit on top of an already implemented web app with a well thought out object model. It can also be used to build standalone javascript apps, backed by HTML5 local storage or something like CouchDB.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
18,Choco,Javascript,https://chocolatejs.org/,Chocolate is an experimental full stack Node.js webapp framework built using Coffeescript.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
19,Agility,Javascript,http://agilityjs.com/,"Agility.js is an MVC library for Javascript that lets you write maintainable and reusable browser code without the verbose or infrastructural overhead found in other MVC libraries. The goal is to enable developers to write web apps at least as quickly as with jQuery, while simplifying long-term maintainability through MVC objects.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
20,Sencha ExtJS,Javascript,https://www.sencha.com/products/extjs/#overview,"Sencha Ext JS is the most comprehensive MVC/MVVM JavaScript framework for building feature-rich cross-platform web applications targeting desktops, tablets, and smartphones. Ext JS leverages HTML5 features on modern browsers while maintaining compatibility and functionality for legacy browsers.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
21,Jamal,Javascript,https://github.com/adcloud/jamal/,"Jamal is a set of conventions and small javascript libraries to archieve a complete separation of html, css and javascript in your web application. Jamal is built on jQuery and inspired by MVC frameworks like Ruby on Rails, CakePHP and its derivatives.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
22,PureMVC,Javascript,http://puremvc.org/,PureMVC is a lightweight framework for creating applications based upon the classic Model-View-Controller design meta-pattern. This is a JavaScript port of the AS3 reference implementation of the MultiCore Version. It supports modular programming through the use of Multiton Core actors.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
23,TrimJunction,Javascript,https://code.google.com/p/trimpath/wiki/TrimJunction,"The open source Junction framework is a conventions-over-configuration, synchronizing web MVC framework for JavaScript.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
